;Int_Temperature;Int_Humidity;Int_Coin_cell_voltage;Temperature;Battery_Voltage;Ultra_Depth;Velocity;RSSI;Signal_Speed;Unnamed;Depth_Pressure;Barometric_Reference
3;27.19608;22.45764;27.19608;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
4;NaN;NaN;242;242;1185;0;0;0;193.0;0.0;10248.0;0.0
5;NaN;NaN;242;242;1187;0;0;0;242.0;0.0;10248.0;0.0
6;NaN;NaN;240;240;1187;0;0;0;210.0;0.0;10248.0;0.0
7;NaN;NaN;240;240;1187;0;0;0;222.0;0.0;10248.0;0.0
8;NaN;NaN;242;242;1187;0;0;0;205.0;0.0;10248.0;0.0
9;NaN;NaN;242;242;1187;0;0;0;222.0;0.0;10248.0;0.0
10;27.2068;22.42712;27.2068;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
11;NaN;NaN;242;242;1187;0;0;0;244.0;0.0;10248.0;0.0
12;NaN;NaN;242;242;1187;0;0;0;255.0;0.0;10247.0;0.0
13;NaN;NaN;240;240;1187;0;0;0;226.0;0.0;10248.0;0.0
14;NaN;NaN;242;242;1187;0;0;0;171.0;0.0;10248.0;0.0
15;NaN;NaN;240;240;1187;0;0;0;249.0;0.0;10247.0;0.0
16;NaN;NaN;240;240;1187;0;0;0;227.0;0.0;10248.0;0.0
17;27.22825;22.39661;27.22825;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18;NaN;NaN;242;242;1187;0;0;0;233.0;0.0;10248.0;0.0
19;NaN;NaN;242;242;1187;0;0;0;239.0;0.0;10248.0;0.0
20;NaN;NaN;240;240;1187;0;0;0;277.0;0.0;10248.0;0.0
21;NaN;NaN;240;240;1187;0;0;0;259.0;0.0;10248.0;0.0
22;NaN;NaN;242;242;1187;0;0;0;214.0;0.0;10248.0;0.0
23;NaN;NaN;242;242;1187;0;0;0;247.0;0.0;10248.0;0.0
24;27.23898;22.32031;27.23898;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
25;NaN;NaN;242;242;1187;0;0;0;202.0;0.0;10248.0;0.0
26;NaN;NaN;240;240;1187;0;0;0;229.0;0.0;10248.0;0.0
27;NaN;NaN;242;242;1187;0;0;0;280.0;0.0;10248.0;0.0
28;NaN;NaN;240;240;1187;0;0;0;229.0;0.0;10248.0;0.0
29;NaN;NaN;242;242;1187;0;0;0;264.0;0.0;10248.0;0.0
30;NaN;NaN;242;242;1187;0;0;0;223.0;0.0;10248.0;0.0
31;27.23898;22.2898;27.23898;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
32;NaN;NaN;242;242;1187;0;0;0;248.0;0.0;10248.0;0.0
33;NaN;NaN;242;242;1187;0;0;0;207.0;0.0;10248.0;0.0
34;NaN;NaN;242;242;1187;0;0;0;236.0;0.0;10248.0;0.0
35;NaN;NaN;242;242;1187;0;0;0;238.0;0.0;10248.0;0.0
36;NaN;NaN;240;240;1187;0;0;0;229.0;0.0;10248.0;0.0
37;NaN;NaN;242;242;1187;0;0;0;227.0;0.0;10248.0;0.0
